Image Names	Problem_colors	Contrasts	Labels	Distance	Conclusion
elife-00882-fig9-v1.jpg	FALSE				Gray-scale
elife-00884-fig7-v1	TRUE	N	N	N	Definitely problematic
elife-00905-fig2-v1	TRUE	Y	Y	N	Definitely okay
elife-00926-fig1-v1.jpg	FALSE				Gray-scale
elife-00926-fig11-v1	FALSE				Definitely okay
elife-00940-fig5-v1	TRUE	N	N	N	Definitely problematic
elife-00947-fig7-v1.jpg	FALSE				Definitely okay
elife-00960-fig1-v1	TRUE	Y	Y	Y	Definitely okay
elife-00960-fig3-v1	TRUE	N	N	N	Definitely problematic
elife-00960-fig5-v1	TRUE	Y	N	N	Probably problematic
elife-00966-fig2-v1.jpg	TRUE	N	Y	Y	Probably okay
elife-00967-fig1-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-00967-fig2-v1	FALSE				Gray-scale
elife-00971-fig6-v1	FALSE				Definitely okay
elife-00983-fig3-v1	FALSE				Gray-scale
elife-00994-fig3-v1	TRUE	Y	N	N	Definitely okay
elife-01008-fig6-v1	TRUE	Y	Y	N	Definitely okay
elife-01009-fig5-v1	TRUE	Y	Y	Y	Definitely okay
elife-01071-fig2-v1.jpg	TRUE	Y	N	N	Probably problematic
elife-01085-fig11-v1.jpg	TRUE	Y	Y	Y	Definitely okay
elife-01085-fig13-v1	TRUE	Y	Y	Y	Definitely okay
elife-01085-fig21-v1	FALSE				Definitely okay
elife-01096-fig4-v1	TRUE	Y	N	Y	Definitely okay
elife-01102-fig8-v1.jpg	FALSE				Gray-scale
elife-01104-fig6-v1	FALSE				Gray-scale
elife-01119-fig2-v1.jpg	FALSE				Gray-scale
elife-01120-fig4-v1	TRUE	Y	Y	Y	Definitely okay
elife-01133-fig8-v1	TRUE	N	N	N	Definitely problematic
elife-01149-fig5-v1	FALSE				Definitely okay
elife-01149-fig6-v1	FALSE				Definitely okay
elife-01157-fig2-v1	FALSE				Definitely okay
elife-01160-fig5-v1	FALSE				Definitely okay
elife-01179-fig1-v1	FALSE				Definitely okay
elife-01197-fig2-v1	TRUE	N	N	N	Definitely problematic
elife-01201-fig4-v2.jpg	TRUE	N	N	N	Definitely problematic
elife-01201-fig8-v1.jpg	FALSE				Definitely okay
elife-01211-fig6-v1	TRUE	Y	Y	N	Definitely okay
elife-01222-fig2-v1	TRUE	Y	N	Y	Definitely okay
elife-01222-fig3-v1	TRUE	Y	N	N	Definitely okay
elife-01229-fig6-v1	FALSE				Gray-scale
elife-01239-fig7-v1.jpg	TRUE	Y	N	N	Probably okay
elife-01256-fig5-v1	TRUE	Y	Y	N	Definitely okay
elife-01279-fig2-v1	TRUE	Y	N	N	Definitely okay
elife-01279-fig9-v1	TRUE	N	N	N	Definitely problematic
elife-01287-fig11-v1	TRUE	Y	N	N	Definitely okay
elife-01287-fig8-v1.jpg	TRUE	Y	Y	N	Definitely okay
elife-01296-fig5-v1	TRUE	Y	N	Y	Definitely okay
elife-01296-fig8-v1	TRUE	N	N	N	Definitely problematic
elife-01305-fig5-v1	FALSE				Gray-scale
elife-01308-fig2-v1	FALSE				Definitely okay
elife-01308-fig7-v1.jpg	TRUE	Y	Y	Y	Definitely okay
elife-01311-fig15-v1	FALSE				Definitely okay
elife-01323-fig2-v1.jpg	FALSE				Definitely okay
elife-01323-fig3-v1	TRUE	Y	N	N	Probably okay
elife-01340-fig13-v1	FALSE				Gray-scale
elife-01341-fig4-v1	TRUE	NA	NA	Y	Definitely okay
elife-01350-fig2-v1	FALSE				Gray-scale
elife-01374-fig2-v1	FALSE				Definitely okay
elife-01374-fig5-v1	FALSE				Definitely okay
elife-01402-fig3-v1	TRUE	Y	N	N	Probably okay
elife-01438-fig7-v1.jpg	FALSE	Y	Y	N	Probably okay
elife-01439-fig4-v1	TRUE	Y	N	Y	Definitely okay
elife-01440-fig5-v1	FALSE				Definitely okay
elife-01462-fig5-v1.jpg	FALSE				Definitely okay
elife-01473-fig4-v1.jpg	TRUE	Y	Y	Y	Definitely okay
elife-01479-fig1-v1.jpg	TRUE	N	N	Y	Probably problematic
elife-01479-fig5-v1	TRUE	N	N	N	Definitely problematic
elife-01483-fig8-v1	TRUE	Y	N	Y	Definitely okay
elife-01488-fig3-v1	TRUE	Y	N	Y	Definitely okay
elife-01496-fig2-v1	TRUE	N	N	N	Definitely problematic
elife-01498-fig3-v1	FALSE				Definitely okay
elife-01501-fig2-v1	TRUE	Y	Y	N	Definitely okay
elife-01503-fig2-v1	TRUE	Y	Y	Y	Definitely okay
elife-01503-fig7-v1	FALSE				Definitely okay
elife-01524-fig6-v1	FALSE				Definitely okay
elife-01557-fig9-v1	TRUE	Y	Y	N	Definitely okay
elife-01569-fig5-v1	TRUE	Y	Y	Y	Definitely okay
elife-01574-fig2-v1.jpg	FALSE	Y	N	N	Definitely okay
elife-01574-fig8-v1.jpg	FALSE				Gray-scale
elife-01581-fig2-v1.jpg	FALSE				Gray-scale
elife-01610-fig4-v1	TRUE	Y	Y	N	Definitely okay
elife-01610-fig6-v1	FALSE				Definitely okay
elife-01610-fig9-v1	FALSE				Definitely okay
elife-01612-fig2-v1	TRUE	N	N	N	Definitely problematic
elife-01612-fig7-v1	TRUE	N	N	N	Definitely problematic
elife-01630-fig11-v1.jpg	FALSE	Y	Y	Y	Definitely okay
elife-01641-fig4-v1	FALSE				Definitely okay
elife-01694-fig3-v1	FALSE				Definitely okay
elife-01695-fig7-v1	TRUE	NA	Y	Y	Definitely okay
elife-01695-fig8-v1.jpg	TRUE	Y	Y	Y	Definitely okay
elife-01724-fig1-v1	TRUE	Y	Y	Y	Definitely okay
elife-01730-fig7-v1	FALSE				Definitely okay
elife-01739-fig9-v1	TRUE	Y	Y	N	Definitely okay
elife-01749-fig3-v1	FALSE				Definitely okay
elife-01808-fig5-v1	FALSE				Gray-scale
elife-01808-fig9-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-01831-fig1-v1	TRUE	N	N	N	Definitely problematic
elife-01832-fig6-v1.jpg	FALSE				Definitely okay
elife-01833-fig5-v1	TRUE	Y	N	N	Probably okay
elife-01834-fig7-v1	TRUE	Y	Y	Y	Definitely okay
elife-01846-fig4-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-01861-fig7-v1	TRUE	NA	NA	Y	Definitely okay
elife-01883-fig3-v1	TRUE	Y	N	Y	Definitely okay
elife-01883-fig9-v1.jpg	FALSE				Gray-scale
elife-01888-fig4-v1	TRUE	N	N	N	Definitely problematic
elife-01906-fig5-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-01914-fig12-v1	TRUE	N	N	N	Definitely problematic
elife-01914-fig5-v1	FALSE				Definitely okay
elife-01916-fig4-v1	FALSE				Definitely okay
elife-01917-fig5-v1	TRUE	Y	Y	N	Definitely okay
elife-01936-fig3-v2	TRUE	Y	Y	N	Definitely okay
elife-01939-fig6-v1	FALSE				Definitely okay
elife-01944-fig10-v1	TRUE	Y	Y	N	Definitely okay
elife-01958-fig6-v1.jpg	TRUE	Y	N	Y	Definitely okay
elife-01963-fig11-v1.jpg	TRUE	Y	Y	N	Definitely okay
elife-01963-fig9-v1	TRUE	N	N	N	Probably problematic
elife-01990-fig2-v2	FALSE				Gray-scale
elife-01993-fig5-v1	TRUE	Y	Y	Y	Definitely okay
elife-01998-fig3-v1.jpg	TRUE	Y	N	N	Probably problematic
elife-01998-fig6-v1	FALSE				Definitely okay
elife-02001-fig3-v1	TRUE	Y	N	N	Definitely okay
elife-02009-fig2-v2	TRUE	N	N	N	Definitely problematic
elife-02020-fig1-v1.jpg	TRUE	Y	Y	Y	Definitely okay
elife-02024-fig8-v2	TRUE	Y	Y	N	Definitely okay
elife-02042-fig6-v1	FALSE				Definitely okay
elife-02043-fig2-v2	TRUE	Y	Y	Y	Definitely okay
elife-02043-fig4-v2	FALSE				Definitely okay
elife-02057-fig3-v2	TRUE	Y	NA	N	Definitely okay
elife-02077-fig1-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-02077-fig7-v1.jpg	FALSE	Y			Definitely okay
elife-02078-fig2-v1	TRUE	Y	Y	N	Definitely okay
elife-02109-fig1-v1.jpg	FALSE				Definitely okay
elife-02164-fig4-v2	TRUE	Y	N	Y	Definitely okay
elife-02172-fig3-v1	FALSE				Gray-scale
elife-02181-fig6-v1	TRUE	Y	N	Y	Definitely okay
elife-02184-fig5-v2	FALSE				Definitely okay
elife-02190-fig1-v1	TRUE	Y	Y	N	Definitely okay
elife-02196-fig2-v3	TRUE	Y	N	N	Definitely okay
elife-02208-fig7-v2	TRUE	Y	Y	N	Definitely okay
elife-02277-fig2-v1	FALSE				Gray-scale
elife-02313-fig7-v1	FALSE				Gray-scale
elife-02370-fig1-v1.jpg	TRUE	Y	Y	N	Probably okay
elife-02370-fig4-v1.jpg	FALSE				Gray-scale
elife-02372-fig2-v3.jpg	TRUE	N	N	N	Definitely problematic
elife-02375-fig2-v2	TRUE	Y	N	N	Definitely okay
elife-02391-fig8-v2	FALSE				Definitely okay
elife-02419-fig9-v2	FALSE				Definitely okay
elife-02439-fig2-v1	TRUE	N	N	N	Definitely problematic
elife-02439-fig5-v1	TRUE	N	Y	N	Definitely problematic
elife-02440-fig2-v2	TRUE	Y	Y	N	Definitely okay
elife-02443-fig1-v1	TRUE	Y	N	Y	Definitely okay
elife-02451-fig1-v2	FALSE				Gray-scale
elife-02478-fig2-v2	TRUE	N	Y	N	Probably problematic
elife-02481-fig2-v2	TRUE	Y	N	N	Definitely okay
elife-02525-fig3-v2.jpg	FALSE				Gray-scale
elife-02598-fig10-v2	TRUE	Y	N	N	Definitely okay
elife-02641-fig4-v1	TRUE	Y	N	N	Definitely okay
elife-02663-fig5-v1.jpg	TRUE	Y	N	Y	Probably okay
elife-02667-fig1-v1	FALSE				Definitely okay
elife-02667-fig7-v1.jpg	FALSE				Definitely okay
elife-02687-fig5-v2	TRUE	Y	Y	N	Definitely okay
elife-02734-fig6-v2	TRUE	N	N	N	Definitely problematic
elife-02740-fig5-v2	TRUE	NA	NA	Y	Definitely okay
elife-02740-fig6-v2	TRUE	Y	Y	N	Definitely okay
elife-02743-fig6-v1	FALSE				Definitely okay
elife-02772-fig2-v2.jpg	TRUE	Y	NA	N	Definitely okay
elife-02780-fig2-v2.jpg	FALSE				Gray-scale
elife-02780-fig7-v2.jpg	TRUE	N	N	N	Definitely problematic
elife-02798-fig2-v1	FALSE				Definitely okay
elife-02839-fig5-v2	FALSE				Gray-scale
elife-02848-fig1-v2	FALSE				Definitely okay
elife-02862-fig6-v2	TRUE	N	N	N	Definitely problematic
elife-02863-fig5-v1	TRUE	Y	N	N	Definitely okay
elife-02863-fig6-v1.jpg	FALSE				Definitely okay
elife-02866-fig1-v1	TRUE	NA	NA	Y	Definitely okay
elife-02866-fig2-v1	TRUE	Y	N	N	Definitely okay
elife-02866-fig4-v1.jpg	TRUE	Y	N	Y	Probably okay
elife-02869-fig4-v2	FALSE				Definitely okay
elife-02875-fig3-v2	FALSE				Definitely okay
elife-02893-fig5-v2	TRUE	NA	NA	Y	Definitely okay
elife-02907-fig7-v2	FALSE				Gray-scale
elife-02923-fig1-v3.jpg	FALSE				Definitely okay
elife-02923-fig3-v3	FALSE				Gray-scale
elife-02935-fig5-v2	TRUE	Y	N	N	Definitely okay
elife-02948-fig2-v2	TRUE	N	N	N	Definitely problematic
elife-02950-fig2-v1	TRUE	Y	Y	Y	Definitely okay
elife-02951-fig2-v1	TRUE	Y	N	N	Probably okay
elife-02981-fig1-v1	FALSE				Gray-scale
elife-03007-fig6-v2	FALSE				Gray-scale
elife-03083-fig2-v1	TRUE	N	N	N	Definitely problematic
elife-03091-fig3-v1	FALSE				Definitely okay
elife-03091-fig4-v1	FALSE				Definitely okay
elife-03110-fig1-v1.jpg	TRUE	Y	N	N	Probably okay
elife-03126-fig9-v2	TRUE	N	N	N	Definitely problematic
elife-03145-fig1-v1	FALSE				Definitely okay
elife-03145-fig6-v1	FALSE				Definitely okay
elife-03185-fig3-v1	TRUE	Y	NA	Y	Definitely okay
elife-03191-fig8-v2.jpg	TRUE	Y	Y	Y	Definitely okay
elife-03198-fig2-v2.jpg	TRUE	N	N	N	Definitely problematic
elife-03198-fig4-v4.jpg	FALSE				Definitely okay
elife-03198-fig5-v4	FALSE				Definitely okay
elife-03198-fig7-v4	TRUE	Y	Y	Y	Definitely okay
elife-03251-fig3-v2	FALSE				Definitely okay
elife-03256-fig3-v2.jpg	TRUE	Y	Y	N	Definitely okay
elife-03271-fig2-v2	TRUE	NA	NA	Y	Definitely okay
elife-03273-fig4-v2	TRUE	Y	N	N	Definitely okay
elife-03275-fig5-v2	TRUE	Y	N	N	Definitely okay
elife-03282-fig4-v2	TRUE	Y	Y	Y	Definitely okay
elife-03293-fig7-v2	FALSE				Definitely okay
elife-03307-fig1-v3.jpg	TRUE	Y	Y	Y	Definitely okay
elife-03372-fig3-v1	TRUE	Y	N	N	Definitely okay
elife-03383-fig5-v3	TRUE	N	N	N	Definitely problematic
elife-03383-fig7-v3.jpg	TRUE	N	N	N	Definitely problematic
elife-03385-fig7-v2	FALSE				Definitely okay
elife-03399-fig1-v2	TRUE	Y	Y	N	Definitely okay
elife-03399-fig3-v2	TRUE	N	N	N	Definitely problematic
elife-03405-fig8-v1.jpg	TRUE	Y	N	N	Probably okay
elife-03416-fig4-v2	FALSE				Gray-scale
elife-03416-fig6-v2	FALSE				Gray-scale
elife-03422-fig1-v1.jpg	FALSE				Definitely okay
elife-03422-fig4-v1	FALSE				Definitely okay
elife-03464-fig7-v1	FALSE				Definitely okay
elife-03467-fig2-v2	TRUE	N	N	N	Definitely problematic
elife-03467-fig4-v2	TRUE	Y	N	N	Probably okay
elife-03468-fig7-v2	FALSE				Gray-scale
elife-03473-fig2-v3	FALSE				Definitely okay
elife-03498-fig8-v1.jpg	TRUE	Y	N	N	Probably problematic
elife-03522-fig2-v1	TRUE	Y	N	N	Definitely okay
elife-03522-fig7-v1.jpg	FALSE				Definitely okay
elife-03528-fig1-v2	TRUE	Y	Y	Y	Definitely okay
elife-03532-fig4-v2	FALSE				Definitely okay
elife-03542-fig1-v2	TRUE	N	N	Y	Probably problematic
elife-03542-fig3-v2	TRUE	Y	N	N	Definitely okay
elife-03549-fig7-v1.jpg	TRUE	Y	Y	Y	Definitely okay
elife-03563-fig8-v2	TRUE	Y	Y	Y	Definitely okay
elife-03579-fig1-v3.jpg	TRUE	N	N	N	Definitely problematic
elife-03581-fig3-v2.jpg	FALSE				Gray-scale
elife-03583-fig2-v3	TRUE	N	N	N	Definitely problematic
elife-03587-fig10-v1	FALSE				Definitely okay
elife-03587-fig7-v1	FALSE				Definitely okay
elife-03596-fig4-v2	TRUE	N	N	N	Definitely problematic
elife-03604-fig6-v2.jpg	TRUE	Y	N	Y	Probably okay
elife-03613-fig2-v2	TRUE	NA	NA	Y	Definitely okay
elife-03614-fig5-v2	FALSE				Definitely okay
elife-03635-fig1-v2.jpg	TRUE	N	N	N	Definitely problematic
elife-03635-fig4-v2	FALSE				Definitely okay
elife-03638-fig8-v2	TRUE	Y	Y	N	Definitely okay
elife-03640-fig6-v2.jpg	TRUE	N	N	N	Definitely problematic
elife-03641-fig3-v1	TRUE	NA	NA	Y	Definitely okay
elife-03648-fig3-v2	TRUE	N	N	N	Definitely problematic
elife-03650-fig5-v1	TRUE	Y	N	Y	Definitely okay
elife-03676-fig2-v1	FALSE				Definitely okay
elife-03680-fig4-v3.jpg	TRUE	N	Y	N	Probably problematic
elife-03680-fig6-v3	TRUE	Y	Y	Y	Definitely okay
elife-03703-fig3-v2	FALSE				Definitely okay
elife-03711-fig2-v2	FALSE				Gray-scale
elife-03714-fig3-v2	TRUE	Y	N	N	Definitely okay
elife-03726-fig8-v1.jpg	FALSE				Definitely okay
elife-03737-fig9-v2	TRUE	Y	Y	N	Definitely okay
elife-03743-fig6-v1	FALSE				Gray-scale
elife-03764-fig2-v1.jpg	FALSE				Definitely okay
elife-03772-fig6-v2	TRUE	Y	N	N	Definitely okay
elife-03778-fig4-v2	FALSE				Gray-scale
elife-03819-fig7-v2	TRUE	Y	N	N	Definitely okay
elife-03830-fig4-v2	FALSE				Definitely okay
elife-03842-fig4-v2	TRUE	N	N	N	Definitely problematic
elife-03848-fig5-v2.jpg	FALSE				Definitely okay
elife-03851-fig2-v2.jpg	FALSE	Y	Y	Y	Definitely okay
elife-03892-fig2-v2	TRUE	Y	N	N	Definitely okay
elife-03895-fig1-v1	FALSE				Definitely okay
elife-03896-fig4-v2	TRUE	Y	Y	Y	Definitely okay
elife-03913-fig8-v2	TRUE	Y	N	N	Definitely okay
elife-03915-fig3-v2	TRUE	Y	N	N	Definitely okay
elife-03915-fig7-v2.jpg	TRUE	N	N	N	Definitely problematic
elife-03941-fig7-v2.jpg	TRUE	Y	Y	N	Probably okay
elife-03943-fig7-v2	TRUE	Y	N	Y	Definitely okay
elife-03949-fig2-v2.jpg	FALSE				Definitely okay
elife-03971-fig3-v2.jpg	TRUE	Y	Y	Y	Definitely okay
elife-04000-fig4-v1	TRUE	N	N	N	Definitely problematic
elife-04006-fig1-v2	TRUE	Y	N	N	Definitely okay
elife-04046-fig4-v3.jpg	TRUE	N	N	N	Definitely problematic
elife-04066-fig5-v2.jpg	FALSE				Gray-scale
elife-04069-fig10-v2	FALSE				Definitely okay
elife-04094-fig3-v2	FALSE				Definitely okay
elife-04094-fig5-v2.jpg	TRUE	Y	Y	N	Definitely okay
elife-04111-fig1-v1	TRUE	Y	N	N	Definitely okay
elife-04111-fig7-v1.jpg	FALSE				Definitely okay
elife-04114-fig4-v2.jpg	TRUE	Y	N	Y	Probably okay
elife-04126-fig3-v3	FALSE				Definitely okay
elife-04126-fig4-v5.jpg	TRUE	Y	Y	N	Probably okay
elife-04132-fig2-v3.jpg	TRUE	N	N	N	Definitely problematic
elife-04132-fig3-v2.jpg	TRUE	N	N	N	Definitely problematic
elife-04137-fig3-v2	TRUE	N	N	N	Definitely problematic
elife-04147-fig2-v1	TRUE	Y	Y	N	Definitely okay
elife-04158-fig9-v2	TRUE	N	N	N	Probably problematic
elife-04177-fig5-v2	FALSE				Definitely okay
elife-04207-fig1-v1	FALSE				Definitely okay
elife-04234-fig1-v2	TRUE	Y	Y	Y	Definitely okay
elife-04234-fig5-v2	FALSE				Gray-scale
elife-04236-fig5-v1.jpg	TRUE	Y	N	Y	Probably okay
elife-04241-fig11-v2	TRUE	Y	Y	Y	Definitely okay
elife-04241-fig4-v2	TRUE	Y	N	N	Definitely okay
elife-04251-fig8-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-04260-fig6-v2	FALSE				Definitely okay
elife-04260-fig8-v2.jpg	TRUE	Y	N	Y	Probably okay
elife-04265-fig10-v3	TRUE	Y	N	Y	Definitely okay
elife-04265-fig2-v3	TRUE	N	N	Y	Definitely problematic
elife-04288-fig5-v1	TRUE	NA	NA	Y	Definitely okay
elife-04346-fig5-v1.jpg	TRUE	Y	N	N	Probably problematic
elife-04366-fig3-v2	TRUE	Y	N	N	Definitely okay
elife-04378-fig5-v2.jpg	TRUE	Y	NA	Y	Definitely okay
elife-04379-fig10-v2	FALSE				Definitely okay
elife-04380-fig8-v2	FALSE				Definitely okay
elife-04389-fig10-v2	TRUE	Y	N	N	Definitely okay
elife-04407-fig11-v2	TRUE	Y	Y	N	Definitely okay
elife-04407-fig2-v2.jpg	TRUE	Y	N	N	Probably okay
elife-04407-fig4-v2	FALSE				Definitely okay
elife-04433-fig1-v2	FALSE				Gray-scale
elife-04433-fig5-v2	FALSE				Gray-scale
elife-04490-fig10-v2	FALSE				Definitely okay
elife-04490-fig7-v2	FALSE				Definitely okay
elife-04493-fig6-v2	TRUE	NA	NA	Y	Definitely okay
elife-04494-fig1-v1	FALSE				Definitely okay
elife-04501-fig6-v3	TRUE	Y	N	N	Probably problematic
elife-04506-fig5-v2	FALSE				Definitely okay
elife-04535-fig6-v2	TRUE	Y	N	N	Definitely okay
elife-04539-fig3-v2	TRUE	Y	N	N	Definitely okay
elife-04550-fig5-v2	FALSE				Gray-scale
elife-04551-fig2-v2.jpg	FALSE				Definitely okay
elife-04580-fig15-v1	TRUE	Y	Y	Y	Definitely okay
elife-04580-fig3-v1	TRUE	Y	Y	Y	Definitely okay
elife-04580-fig4-v1	TRUE	Y	Y	Y	Definitely okay
elife-04580-fig8-v1	TRUE	Y	Y	Y	Definitely okay
elife-04581-fig6-v2.jpg	TRUE	N	N	N	Definitely problematic
elife-04581-fig7-v2	TRUE	Y	Y	N	Definitely okay
elife-04585-fig3-v3.jpg	FALSE				Definitely okay
elife-04640-fig7-v1	TRUE	Y	Y	Y	Definitely okay
elife-04659-fig5-v2	FALSE				Gray-scale
elife-04660-fig6-v2	FALSE				Definitely okay
elife-04664-fig7-v2	TRUE	Y	N	N	Definitely okay
elife-04677-fig5-v1.jpg	FALSE				Definitely okay
elife-04692-fig2-v2	FALSE				Definitely okay
elife-04718-fig2-v1	TRUE	N	N	N	Definitely problematic
elife-04775-fig1-v2	TRUE	Y	Y	N	Definitely okay
elife-04775-fig2-v2	FALSE				Definitely okay
elife-04801-fig5-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-04875-fig2-v2	FALSE				Definitely okay
elife-04875-fig5-v2	TRUE	Y	N	N	Definitely okay
elife-04875-fig6-v2	TRUE	Y	N	N	Definitely okay
elife-04885-fig1-v2.jpg	TRUE	Y	N	N	Probably okay
elife-04885-fig4-v2	FALSE				Definitely okay
elife-04889-fig14-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-04960-fig2-v2.jpg	TRUE	N	N	N	Definitely problematic
elife-04970-fig6-v2	TRUE	Y	N	N	Definitely okay
elife-04979-fig2-v2	FALSE				Definitely okay
elife-04986-fig6-v1.jpg	FALSE				Definitely okay
elife-04988-fig1-v2	TRUE	Y	N	Y	Definitely okay
elife-05005-fig3-v1	TRUE	Y	N	N	Definitely okay
elife-05007-fig5-v2	TRUE	NA	NA	Y	Definitely okay
elife-05042-fig4-v1	TRUE	Y	Y	N	Definitely okay
elife-05042-fig6-v1	TRUE	Y	Y	N	Definitely okay
elife-05061-fig6-v1.jpg	FALSE				Definitely okay
elife-05098-fig8-v1	TRUE	Y	N	N	Definitely okay
elife-05105-fig3-v2	FALSE				Definitely okay
elife-05105-fig6-v2	FALSE				Definitely okay
elife-05116-fig1-v1	TRUE	Y	N	N	Definitely okay
elife-05151-fig5-v2	TRUE	N	N	N	Definitely problematic
elife-05154-fig4-v1.jpg	FALSE				Definitely okay
elife-05161-fig1-v1	FALSE				Definitely okay
elife-05165-fig1-v2	FALSE				Definitely okay
elife-05165-fig6-v2.jpg	FALSE	N			Probably okay
elife-05178-fig3-v1	FALSE				Definitely okay
elife-05255-fig8-v1	TRUE	NA	NA	Y	Definitely okay
elife-05279-fig8-v1	TRUE	Y	Y	N	Definitely okay
elife-05289-fig7-v1.jpg	TRUE	Y	N	N	Probably okay
elife-05322-fig5-v2	TRUE	Y	N	Y	Definitely okay
elife-05352-fig4-v2	TRUE	Y	Y	N	Definitely okay
elife-05361-fig4-v2	TRUE	N	N	N	Definitely problematic
elife-05397-fig4-v1.jpg	TRUE	Y	N	N	Probably problematic
