,article_id,image_file_path,is_rgb,max_ratio,num_high_ratios,proportion_high_ratio_pixels,mean_delta,euclidean_distance_metric,firstPart,secondPart
2131,01808,elife-01808-fig9-v1.jpg,1,9.748847817803972,110.0,0.0552055660974067,0.0235525875876607,2.0,Images,01808
2164,01832,elife-01832-fig6-v1.jpg,1,7.832858537138261,5.0,0.0524396782841823,0.0130558734746733,28.16025568065745,Images,01832
2186,01846,elife-01846-fig4-v1.jpg,1,10.626538921649708,210.0,0.0995437262357414,0.0379891325100699,10.63014581273465,Images,01846
2235,01883,elife-01883-fig9-v1.jpg,0,,,,,,Images,01883
2266,01906,elife-01906-fig5-v1.jpg,1,9.969511075106531,59.0,0.0444687045123726,0.026472908766129,3.0,Images,01906
2354,01958,elife-01958-fig6-v1.jpg,1,8.489264692467902,12.0,0.0052331606217616,0.020418616700756,14.560219778561036,Images,01958
2359,01963,elife-01963-fig11-v1.jpg,1,9.942177144104193,31.0,0.0390538573508005,0.0665395093152254,14.7648230602334,Images,01963
2409,01998,elife-01998-fig3-v1.jpg,1,10.313727919489876,28.0,0.040383275261324,0.0480746887849818,22.47220505424423,Images,01998
2432,02020,elife-02020-fig1-v1.jpg,1,8.941757936020629,26.0,0.0396634615384615,0.0515560694032371,14.142135623730953,Images,02020
2509,02077,elife-02077-fig1-v1.jpg,1,10.425017457064378,23.0,0.0596,0.0927074055815974,11.180339887498947,Images,02077
2515,02077,elife-02077-fig7-v1.jpg,1,10.871184042249784,37.0,0.0476256767208043,0.0754234802569209,14.866068747318506,Images,02077
2526,02109,elife-02109-fig1-v1.jpg,1,9.232050166229635,23.0,0.025704989154013,0.0312678435331209,12.649110640673518,Images,02109
2776,02370,elife-02370-fig1-v1.jpg,1,9.04280953154366,22.0,0.0076929196499602,0.0672615587226874,36.76955262170047,Images,02370
2779,02370,elife-02370-fig4-v1.jpg,1,7.62827028157527,13.0,0.0168618143459915,0.0204944186090606,36.6742416417845,Images,02370
2782,02372,elife-02372-fig2-v3.jpg,1,11.136485291700955,50.0,0.1720923520923521,0.0548956263590389,19.59218614121354,Images,02372
3024,02663,elife-02663-fig5-v1.jpg,1,7.974901574186871,13.0,0.0072159800249687,0.0288860897572511,5.0,Images,02663
3033,02667,elife-02667-fig7-v1.jpg,1,10.939041554092992,5.0,0.0008225108225108225,0.0077769495661665,8.332291507670588,Images,02667
3137,02772,elife-02772-fig2-v2.jpg,1,10.526365531290327,162.0,0.0623909249563699,0.1229304632798304,12.298373876248844,Images,02772
3144,02780,elife-02780-fig2-v2.jpg,0,,,,,,Images,02780
3148,02780,elife-02780-fig7-v2.jpg,1,9.468396819127298,8.0,0.0051140065146579,0.0725306979558995,33.61547262794322,Images,02780
3230,02863,elife-02863-fig6-v1.jpg,1,14.754794174463932,144.0,0.0128343313373253,0.0579778180494143,16.492422502470642,Images,02863
3240,02866,elife-02866-fig4-v1.jpg,1,10.469303304132596,60.0,0.0950346191889218,0.1542027799922429,20.808652046684813,Images,02866
3295,02923,elife-02923-fig1-v3.jpg,1,10.78754429699706,126.0,0.2324012158054711,0.0392038514184791,21.93171219946131,Images,02923
3450,03110,elife-03110-fig1-v1.jpg,1,10.37416217840539,41.0,0.0071378091872791,0.1362958167295498,7.615773105863909,Images,03110
3521,03191,elife-03191-fig8-v2.jpg,1,11.25379459181974,6.0,0.0009822866344605474,0.0088447140765198,42.72001872658765,Images,03191
3534,03198,elife-03198-fig2-v2.jpg,1,9.451861426372895,22.0,0.003724340175953,0.0236555452998588,9.486832980505138,Images,03198
3542,03198,elife-03198-fig4-v4.jpg,1,9.139615627736118,15.0,0.012828660436137,0.0281327371259587,13.038404810405298,Images,03198
3611,03256,elife-03256-fig3-v2.jpg,1,10.598451361307797,36.0,0.0388992537313432,0.0862842614601574,36.71511950137164,Images,03256
3664,03307,elife-03307-fig1-v3.jpg,1,9.56978183732562,25.0,0.0133258426966292,0.0530943536717084,10.04987562112089,Images,03307
3719,03383,elife-03383-fig7-v3.jpg,1,9.741281062155029,54.0,0.0881755829903978,0.0403646334523887,17.0,Images,03383
3756,03405,elife-03405-fig8-v1.jpg,1,10.336846481307871,79.0,0.0183963963963963,0.0830562413191198,10.04987562112089,Images,03405
3773,03422,elife-03422-fig1-v1.jpg,1,18.08350633727079,7.0,0.0334650856389986,0.021260282792658,22.825424421026653,Images,03422
3848,03498,elife-03498-fig8-v1.jpg,1,17.266536016664755,1088.0,0.2488301886792452,0.0591908294293318,19.96242942258564,Images,03498
3863,03522,elife-03522-fig7-v1.jpg,1,6.010467114728118,4.0,0.0057078986587183,0.0073116768321213,31.78049716414141,Images,03522
3903,03549,elife-03549-fig7-v1.jpg,1,10.019928762222184,34.0,0.0080921052631578,0.0215883531423113,9.0,Images,03549
3940,03579,elife-03579-fig1-v3.jpg,1,10.905793266190374,46.0,0.0657435897435897,0.060767930073002,20.0,Images,03579
3951,03581,elife-03581-fig3-v2.jpg,0,,,,,,Images,03581
3990,03604,elife-03604-fig6-v2.jpg,1,10.298897424312026,49.0,0.0386924493554327,0.0697041826659658,17.72004514666935,Images,03604
4024,03635,elife-03635-fig1-v2.jpg,1,13.265259780162944,49.0,0.0771828908554572,0.0497719878920905,15.0,Images,03635
4042,03640,elife-03640-fig6-v2.jpg,1,11.362124421277144,150.0,0.1303930817610062,0.0276352095209472,5.475422309809327,Images,03640
4100,03680,elife-03680-fig4-v3.jpg,1,10.472292397042349,18.0,0.051305683563748,0.0403572697067173,24.166091947189145,Images,03680
4185,03726,elife-03726-fig8-v1.jpg,1,10.70342898749246,85.0,0.0417881438289601,0.0665734654315331,22.520815280171306,Images,03726
4225,03764,elife-03764-fig2-v1.jpg,1,6.746724651429009,4.0,0.0377162447257383,0.0755518544190862,33.97057550292606,Images,03764
4318,03848,elife-03848-fig5-v2.jpg,1,12.10222122317202,114.0,0.2442156862745098,0.0253096272784084,19.697715603592208,Images,03848
4323,03851,elife-03851-fig2-v2.jpg,1,11.97623605610287,15.0,0.0184126984126984,0.0417829437369895,14.5,Images,03851
4377,03915,elife-03915-fig7-v2.jpg,1,10.834181633731134,81.0,0.0957847533632287,0.0708810061081405,13.45362404707371,Images,03915
4391,03941,elife-03941-fig7-v2.jpg,1,10.981190550153675,53.0,0.0101007751937984,0.0641973144640486,20.518284528683196,Images,03941
4400,03949,elife-03949-fig2-v2.jpg,1,9.395012241694952,15.0,0.0220116959064327,0.0180926688744927,11.0,Images,03949
4430,03971,elife-03971-fig3-v2.jpg,1,10.728115206844626,47.0,0.0059182259182259,0.0191300717350642,13.892443989449804,Images,03971
4462,04046,elife-04046-fig4-v3.jpg,1,10.56764287631551,138.0,0.0308333333333333,0.0179962124817667,9.055385138137416,Images,04046
4496,04066,elife-04066-fig5-v2.jpg,0,,,,,,Images,04066
4515,04094,elife-04094-fig5-v2.jpg,1,10.610450024164065,14.0,0.0222395833333333,0.050506053677728,16.76305461424021,Images,04094
4528,04111,elife-04111-fig7-v1.jpg,1,14.265145015299275,17.0,0.1143010752688172,0.0295578254791437,23.345235059857504,Images,04111
4531,04114,elife-04114-fig4-v2.jpg,1,10.458636939553324,174.0,0.0322452504317789,0.0148621110889036,2.0,Images,04114
4560,04126,elife-04126-fig4-v5.jpg,1,14.1183216557473,28.0,0.0115733333333333,0.0346883704528904,10.0,Images,04126
4570,04132,elife-04132-fig2-v3.jpg,1,11.184179533411395,185.0,0.1520031298904538,0.0378671894639912,9.219544457292889,Images,04132
4571,04132,elife-04132-fig3-v2.jpg,1,14.772884465474307,235.0,0.0617958656330749,0.0143757506940163,14.123104670230235,Images,04132
4650,04236,elife-04236-fig5-v1.jpg,1,12.287153101161856,34.0,0.0298539518900343,0.0473050062112883,25.81600561797629,Images,04236
4682,04251,elife-04251-fig8-v1.jpg,1,24.22860220849397,555.0,0.0858256880733945,0.0337425420882348,2.8284271247461903,Images,04251
4691,04260,elife-04260-fig8-v2.jpg,1,10.384253281432729,29.0,0.1476651305683563,0.0457188018406879,27.586228448267445,Images,04260
4738,04346,elife-04346-fig5-v1.jpg,1,11.796879665889495,92.0,0.0120383693045563,0.0389660065978529,14.560219778561036,Images,04346
4756,04378,elife-04378-fig5-v2.jpg,1,11.146247612124869,188.0,0.0391125541125541,0.0768082956798357,35.0,Images,04378
4814,04407,elife-04407-fig2-v2.jpg,1,9.87922384210717,21.0,0.0232403100775193,0.0830778504221986,17.69180601295413,Images,04407
5005,04581,elife-04581-fig6-v2.jpg,1,10.549342306171228,84.0,0.0226716604244694,0.0221105560449212,15.811388300841896,Images,04581
5013,04585,elife-04585-fig3-v3.jpg,1,9.020945832978294,21.0,0.0106102003642987,0.0337424259715521,7.0,Images,04585
5121,04677,elife-04677-fig5-v1.jpg,1,7.110982525708079,5.0,0.0035668789808917,0.0211638463641508,21.177657367599146,Images,04677
5178,04801,elife-04801-fig5-v1.jpg,1,10.628377971682236,16.0,0.0083018867924528,0.0092142782830365,10.0,Images,04801
5259,04885,elife-04885-fig1-v2.jpg,1,10.9527995499094,256.0,0.3259016393442623,0.1132649170228857,8.06225774829855,Images,04885
5273,04889,elife-04889-fig14-v1.jpg,1,10.18882628827733,157.0,0.1646666666666666,0.0700549596556599,21.37755832643195,Images,04889
5307,04960,elife-04960-fig2-v2.jpg,1,10.788659168339471,40.0,0.0309788359788359,0.0557818102315603,6.5,Images,04960
5328,04986,elife-04986-fig6-v1.jpg,1,10.149960663748868,25.0,0.0221909233176838,0.0588713892365689,25.43356287462857,Images,04986
5387,05061,elife-05061-fig6-v1.jpg,1,10.992662792280742,17.0,0.0486949293433083,0.0094036417373303,20.0,Images,05061
5459,05154,elife-05154-fig4-v1.jpg,1,8.63144050194804,3.0,0.0061083743842364,0.0131573463675422,26.351931766099646,Images,05154
5469,05165,elife-05165-fig6-v2.jpg,1,9.761384240830523,8.0,0.0023574144486692,0.0262874847149797,78.16009211867653,Images,05165
5517,05289,elife-05289-fig7-v1.jpg,1,10.726968987184216,387.0,0.0298091042584434,0.1361290965742838,7.211102550927978,Images,05289
5584,05397,elife-05397-fig4-v1.jpg,1,10.229707683114633,247.0,0.0277505827505827,0.0346320708963774,1.0,Images,05397
5639,05438,elife-05438-fig1-v1.jpg,1,11.546486163435066,119.0,0.056613545816733,0.0300432664631061,4.123105625617661,Images,05438
5672,05464,elife-05464-fig1-v2.jpg,1,10.604666735369872,16.0,0.0066057838660578,0.0155600147566293,9.713275569367134,Images,05464
5719,05503,elife-05503-fig6-v2.jpg,1,9.72631524196142,18.0,0.010737913486005,0.0191195748302511,18.73491796016267,Images,05503
6006,06029,elife-06029-fig1-v2.jpg,1,8.329787169768009,1.0,0.0003125,0.1735192042931871,31.5,Images,06029
6014,06029,elife-06029-fig9-v2.jpg,1,11.37812016510127,203.0,0.097420814479638,0.0267170569395134,10.931007421789616,Images,06029
6099,06114,elife-06114-fig3-v1.jpg,1,8.667774422841598,29.0,0.1285410334346504,0.0802020554704229,14.534482612995554,Images,06114
6117,06120,elife-06120-fig7-v2.jpg,1,10.354442086081905,8.0,0.0054870420017873,0.0228336414760971,12.806248474865695,Images,06120
6154,06166,elife-06166-fig2-v2.jpg,1,10.896967031225689,108.0,0.0304891922639362,0.0251062701508038,2.23606797749979,Images,06166
6158,06179,elife-06179-fig3-v2.jpg,1,8.8608858241919,12.0,0.0027263681592039,0.0229160115768916,7.280109889280518,Images,06179
6227,06229,elife-06229-fig4-v2.jpg,1,15.692414023282389,131.0,0.0313043478260869,0.0691336895489809,8.48528137423857,Images,06229
6239,06249,elife-06249-fig4-v1.jpg,1,14.95739256666441,260.0,0.0953656957928802,0.0718627497983898,7.141085181396727,Images,06249
6272,06265,elife-06265-fig4-v1.jpg,1,10.317401959561192,114.0,0.1195816464237516,0.0894771636601011,12.806248474865695,Images,06265
6301,06322,elife-06322-fig1-v1.jpg,1,9.962267828444825,26.0,0.0132414369256474,0.0181807171456647,15.824345096428562,Images,06322
6304,06322,elife-06322-fig5-v1.jpg,1,11.227511812599833,43.0,0.03759670781893,0.0576848778742738,20.748070572954703,Images,06322
6344,06359,elife-06359-fig6-v1.jpg,1,10.221073320044306,43.0,0.0572941176470588,0.0584834232316207,11.40175425099138,Images,06359
6468,06498,elife-06498-fig3-v3.jpg,1,10.70203299634386,72.0,0.0491756272401433,0.1858016323779051,11.895969463030736,Images,06498
6485,06505,elife-06505-fig5-v2.jpg,0,,,,,,Images,06505
6505,06516,elife-06516-fig2-v2.jpg,1,10.870769205171298,46.0,0.0242979002624671,0.0531518300830895,24.91974234837422,Images,06516
6540,06545,elife-06545-fig8-v2.jpg,1,8.711507734379019,4.0,0.0171460674157303,0.0109882560833152,51.0881590977792,Images,06545
6611,06602,elife-06602-fig2-v2.jpg,0,,,,,,Images,06602
6703,06744,elife-06744-fig5-v2.jpg,1,10.273799113196176,10.0,0.0064899882214369,0.0290410717628216,19.525640992470617,Images,06744
6731,06807,elife-06807-fig5-v1.jpg,1,10.378006562825425,117.0,0.0872549019607843,0.025318543027155,19.20488035267551,Images,06807
6732,06807,elife-06807-fig6-v1.jpg,1,10.430171979076285,81.0,0.0720620155038759,0.0368702708343667,20.32144816309065,Images,06807
6810,06930,elife-06930-fig4-v1.jpg,1,17.299755261771914,35.0,0.0761477045908183,0.0517002263570714,20.0,Images,06930
6894,07025,elife-07025-fig2-v2.jpg,1,10.493410867294251,11.0,0.0241092636579572,0.0462704236987692,10.816653826391969,Images,07025
7004,07187,elife-07187-fig3-v2.jpg,1,9.138140771872798,28.0,0.0183854166666666,0.0201020541877356,7.280109889280518,Images,07187
7016,07192,elife-07192-fig7-v1.jpg,1,11.328513060421542,19.0,0.0242367601246105,0.0196623050426379,22.80350850198276,Images,07192
7064,07266,elife-07266-fig4-v1.jpg,1,10.18882662902189,6.0,0.0015384615384615,0.1262675136840678,23.323807579381203,Images,07266
7176,07398,elife-07398-fig1-v3.jpg,1,12.515672344870566,128.0,0.018443113772455,0.031107408063394,3.662277660168379,Images,07398
7282,07485,elife-07485-fig1-v3.jpg,1,10.914288974867407,179.0,0.0053830845771144,0.0076262013553833,1.0,Images,07485
7347,07596,elife-07596-fig4-v3.jpg,1,10.487298622205916,164.0,0.0486503623188405,0.088296057660398,22.825424421026653,Images,07596
7456,07777,elife-07777-fig4-v2.jpg,1,10.461707559642331,122.0,0.0351052048726467,0.0901826431374773,2.23606797749979,Images,07777
7514,07836,elife-07836-fig7-v3.jpg,1,9.823378459264411,17.0,0.0300222222222222,0.0560662212793766,22.416442414621063,Images,07836
7553,07864,elife-07864-fig5-v2.jpg,1,11.666557073682224,93.0,0.0593989071038251,0.0633683732117759,14.317821063276352,Images,07864
7559,07871,elife-07871-fig2-v1.jpg,0,,,,,,Images,07871
7612,07918,elife-07918-fig6-v1.jpg,1,12.00526209567981,83.0,0.1028824833702882,0.0446140926312439,40.92658151487696,Images,07918
7657,07966,elife-07966-fig6-v2.jpg,1,9.835640488740548,33.0,0.0019723435225618,0.0626273311563788,4.123105625617661,Images,07966
7660,07969,elife-07969-fig3-v2.jpg,1,7.772576467721865,5.0,0.0025396825396825,0.0307476546446319,19.695113999911367,Images,07969
7680,08007,elife-08007-fig4-v2.jpg,1,9.754529567807058,65.0,0.1082020997375328,0.0431391869574249,13.038404810405298,Images,08007
7703,08088,elife-08088-fig2-v2.jpg,0,,,,,,Images,08088
7717,08127,elife-08127-fig6-v1.jpg,1,11.231259615668687,24.0,0.0076681614349775,0.0253654091977917,30.19490161711446,Images,08127
7724,08142,elife-08142-fig1-v2.jpg,1,10.226132200804315,21.0,0.0013240186294078,0.0247111304780371,5.0990195135927845,Images,08142
7819,08261,elife-08261-fig1-v2.jpg,1,10.373849368980016,50.0,0.0532374100719424,0.0286623955113682,19.31293027562307,Images,08261
7852,08351,elife-08351-fig5-v1.jpg,1,8.81996641901713,3.0,0.0001366120218579235,0.0167242877043349,25.14911064067352,Images,08351
7860,08362,elife-08362-fig1-v2.jpg,1,12.13504295420258,74.0,0.041748128577719,0.0598764671476044,32.57299494980466,Images,08362
7868,08363,elife-08363-fig7-v1.jpg,1,9.427943323077663,4.0,0.0032156862745098,0.0137535167625777,32.89376840679705,Images,08363
8051,08648,elife-08648-fig1-v1.jpg,1,10.241836429210652,42.0,0.0497357203751065,0.0581280258198838,21.633307652783937,Images,08648
8069,08666,elife-08666-fig4-v2.jpg,1,10.93417142033793,205.0,0.1196615384615384,0.0412498580807955,10.0,Images,08666
8172,08752,elife-08752-fig7-v1.jpg,0,,,,,,Images,08752
8179,08758,elife-08758-fig7-v2.jpg,1,9.648025338271792,24.0,0.0524101068999028,0.0501113908230496,15.0,Images,08758
8298,08905,elife-08905-fig6-v2.jpg,1,10.55060658832888,21.0,0.0041302841302841,0.0163295926137498,11.31370849898476,Images,08905
8317,08918,elife-08918-fig9-v2.jpg,1,11.87689175823458,221.0,0.422062937062937,0.3266113877084062,11.40175425099138,Images,08918
8329,08928,elife-08928-fig5-v1.jpg,0,,,,,,Images,08928
8340,08932,elife-08932-fig3-v3.jpg,1,10.987363513747988,22.0,0.013235294117647,0.0499578535063621,10.44030650891055,Images,08932
8432,09017,elife-09017-fig4-v2.jpg,1,10.398165534235158,56.0,0.0412660256410256,0.1679241146999919,7.615773105863909,Images,09017
8574,09214,elife-09214-fig6-v2.jpg,1,17.33462152694097,31.0,0.0069941775836972,0.0317491933636832,24.413111231467404,Images,09214
8624,09268,elife-09268-fig2-v3.jpg,1,7.820904954623521,2.0,0.0018257261410788,0.025473665301007,12.345352609732906,Images,09268
8639,09269,elife-09269-fig4-v1.jpg,1,10.329851185506142,28.0,0.009139344262295,0.0400524301570016,1.4142135623730951,Images,09269
8646,09275,elife-09275-fig1-v2.jpg,1,9.995409188116696,52.0,0.0325956284153005,0.0426472975092241,21.842704244920327,Images,09275
8714,09376,elife-09376-fig2-v1.jpg,1,9.96438823493374,52.0,0.0070137207425343,0.053252051755204,13.24621125123532,Images,09376
8718,09376,elife-09376-fig4-v1.jpg,1,7.809218195317842,2.0,0.0007239819004524887,0.0298921787756679,12.539999694598798,Images,09376
8735,09391,elife-09391-fig5-v2.jpg,1,13.908771711472951,21.0,0.0244529262086513,0.0163116529871161,12.11197683067136,Images,09391
8824,09540,elife-09540-fig2-v1.jpg,1,9.624365048554129,34.0,0.0274492753623188,0.0529496553182173,14.816345025308422,Images,09540
8864,09561,elife-09561-fig2-v1.jpg,1,12.111662753667789,22.0,0.0288182831661092,0.0321264480796995,5.830951894845301,Images,09561
8868,09561,elife-09561-fig6-v1.jpg,0,,,,,,Images,09561
8920,09584,elife-09584-fig7-v1.jpg,1,18.15700383674413,74.0,0.2532896174863388,0.059456644909274,11.31370849898476,Images,09584
8992,09656,elife-09656-fig5-v1.jpg,1,8.445142758445462,6.0,0.0059259259259259,0.0751619724167362,38.91015291668744,Images,09656
9014,09672,elife-09672-fig5-v2.jpg,1,10.317393594077728,45.0,0.0116438356164383,0.0458271483012072,12.727922061357855,Images,09672
9046,09696,elife-09696-fig8-v2.jpg,1,8.885771809996653,29.0,0.0275354107648725,0.0357754836196596,16.76305461424021,Images,09696
9194,10036,elife-10036-fig8-v2.jpg,1,10.414056359746464,44.0,0.0099731903485254,0.0332625084499971,7.280109889280518,Images,10036
9219,10056,elife-10056-fig4-v2.jpg,1,10.664869327433305,44.0,0.0244169246646026,0.0341859132540463,23.010125715256528,Images,10056
9231,10072,elife-10072-fig1-v2.jpg,0,,,,,,Images,10072
9256,10110,elife-10110-fig2-v2.jpg,1,11.0570949481917,16.0,0.0005800653594771242,0.0048916582636405,257.9922479455536,Images,10110
9288,10130,elife-10130-fig4-v1.jpg,1,40.935748723402845,148.0,0.0186608442503639,0.0194369415496966,6.708203932499369,Images,10130
9346,10230,elife-10230-fig8-v2.jpg,1,10.45621680312818,191.0,0.1127705627705627,0.0628733591526247,19.96242942258564,Images,10230
9449,10473,elife-10473-fig7-v1.jpg,1,10.316222495296657,32.0,0.0129078014184397,0.0328099616787191,9.675507639562207,Images,10473
9559,10607,elife-10607-fig7-v4.jpg,1,9.76716503063627,26.0,0.0206085753803596,0.0449601538973156,5.9568572125717605,Images,10607
9672,10769,elife-10769-fig2-v1.jpg,1,9.851466915016111,60.0,0.0939512195121951,0.1128955572398664,20.04987562112089,Images,10769
9687,10774,elife-10774-fig2-v4.jpg,1,10.938813549970355,100.0,0.0984478371501272,0.0147530178581517,14.866068747318506,Images,10774
9739,10809,elife-10809-fig4-v2.jpg,1,9.404372343444944,27.0,0.0260700389105058,0.0404747419475514,13.152946437965904,Images,10809
9778,10837,elife-10837-fig4-v2.jpg,1,8.552773203061191,15.0,0.0748432055749128,0.0424151786267861,25.37703270203137,Images,10837
9818,10856,elife-10856-fig8-v3.jpg,1,9.783661655940532,48.0,0.0292026578073089,0.0594323329924747,12.206555615733702,Images,10856
9857,10907,elife-10907-fig4-v1.jpg,1,6.011699587745016,1.0,0.0002747909199522103,0.0495461693318846,38.93808539398721,Images,10907
9909,10989,elife-10989-fig8-v2.jpg,1,9.891856191873115,41.0,0.0222755627881746,0.0668055211841084,45.18849411078001,Images,10989
9937,11050,elife-11050-fig1-v1.jpg,1,11.70540069958522,27.0,0.0189795918367346,0.011707981127085,32.69556544854363,Images,11050
10146,11324,elife-11324-fig4-v2.jpg,1,8.095546906549025,67.0,0.0032246376811594,0.0231952658443002,3.0,Images,11324
10223,11416,elife-11416-fig3-v2.jpg,1,11.29498594303611,31.0,0.0469128205128205,0.0692780402720446,21.40093455903269,Images,11416
10256,11475,elife-11475-fig6-v2.jpg,1,9.0691403812844,14.0,0.0192777777777777,0.0277050278495612,5.464985704219043,Images,11475
10317,11611,elife-11611-fig5-v2.jpg,1,14.93563915555862,58.0,0.0089064558629776,0.0184918448743847,11.704699910719626,Images,11611
10325,11614,elife-11614-fig3-v2.jpg,1,8.989960780702534,1.0,0.0001870748299319728,0.0074847737233894,48.27670681653014,Images,11614
10365,11750,elife-11750-fig3-v1.jpg,1,10.547582613206972,16.0,0.0123102310231023,0.0563822673579357,24.698178070456937,Images,11750
10392,11813,elife-11813-fig5-v1.jpg,1,11.509129917025149,86.0,0.2617510548523207,0.1092046475459952,12.529964086141668,Images,11813
10434,11862,elife-11862-fig1-v2.jpg,1,7.815288122165469,3.0,0.0023838383838383,0.0262566886491454,32.14031735997639,Images,11862
10488,11994,elife-11994-fig4-v2.jpg,1,6.632057312935861,1.0,0.0008333333333333334,0.0123241030100374,28.46049894151541,Images,11994
10604,12059,elife-12059-fig8-v2.jpg,1,9.760441035952963,46.0,0.0175550314465408,0.0479271522859372,17.4928556845359,Images,12059
10669,12115,elife-12115-fig3-v1.jpg,1,12.510764531044584,96.0,0.0957395612172682,0.0732422948323752,13.341664064126334,Images,12115
10692,12151,elife-12151-fig7-v2.jpg,1,11.192697843621383,204.0,0.0847294372294372,0.0380781845015978,12.5,Images,12151
10701,12167,elife-12167-fig4-v2.jpg,1,10.064010339804446,19.0,0.0226241134751773,0.0277381749702493,26.200378782444083,Images,12167
10847,12387,elife-12387-fig6-v2.jpg,1,9.975555957125598,38.0,0.0129081632653061,0.012724199816594,8.94427190999916,Images,12387
